Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
127,GB3HN,433.025,+,1.6,Tone,103.5,103.5,023,NN,FM,25.00,,Ludlow,,,,
128,GB3HO,430.8875,+,7.6,Tone,88.5,88.5,023,NN,FM,25.00,,Horsham,,,,
129,GB3HR,433.35,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Harrow,,,,
130,GB3HS,145.65,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,Hull,,,,
131,GB3HT,433.275,+,1.6,Tone,77,77,023,NN,FM,25.00,,Hinckley,,,,
132,GB3HW,433.325,+,1.6,Tone,110.9,110.9,023,NN,FM,25.00,,Gidea Park,,,,
133,GB3HY,430.9,+,7.6,Tone,88.5,88.5,023,NN,FM,25.00,,Haywards Heath,,,,
134,GB3IC,433.125,+,1.6,Tone,67,67,023,NN,FM,25.00,,Wolverhampton,,,,
135,GB3IG,145.775,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,Stornoway,,,,
136,GB3IH,433.1,+,1.6,Tone,110.9,110.9,023,NN,FM,25.00,,Ipswich,,,,
137,GB3IK,145.7625,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Rochester,,,,
138,GB3IMC,430.825,+,7.6,Tone,110.9,110.9,023,NN,FM,25.00,,Douglas  Iom,,,,
139,GB3IMP,430.875,+,7.6,Tone,110.9,110.9,023,NN,FM,25.00,,Peel,,,,
140,GB3IMR,430.825,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Ramsey  Iom,,,,
141,GB3IMS,433.125,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Douglas  Iom,,,,
142,GB3IN,145.6375,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Alfreton,,,,
143,GB3IP,430.975,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,South Nutfield,,,,
144,GB3IR,145.7625,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,Richmond Yorks,,,,
145,GB3IS,430.8875,+,7.6,Tone,94.8,94.8,023,NN,FM,25.00,,Isle Of South Uist,,,,
146,GB3IW,433.225,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Newport,,,,
147,GB3JB,145.7875,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Mere Wiltshire,,,,
148,GB3JL,145.7875,-,0.6,Tone,77,77,023,NN,FM,12.50,,Liskeard,,,,
149,GB3JM,430.875,+,7.6,Tone,118.8,118.8,023,NN,FM,25.00,,Leominister,,,,
150,GB3JR,430.975,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Mansfield,,,,
151,GB3JS,433.025,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Great Yarmouth,,,,
152,GB3KA,430.8875,+,7.6,Tone,118.8,118.8,023,NN,FM,25.00,,Kidderminster,,,,
153,GB3KC,430.9,+,7.6,Tone,67,67,023,NN,FM,25.00,,Stourbridge,,,,
154,GB3KE,145.6875,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Glasgow,,,,
155,GB3KI,145.6625,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Herne Bay,,,,
156,GB3KK,430.975,+,7.6,Tone,110.9,110.9,023,NN,FM,25.00,,Ballycastle,,,,
157,GB3KL,433.1,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Kings Lynn,,,,
158,GB3KN,145.7,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Maidstone,,,,
159,GB3KR,430.8125,+,7.6,Tone,118.8,118.8,023,NN,FM,25.00,,Stourport On Severn,,,,
